epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.6863247265255517,0.5979791529800581,0.590217205404481,0.6778385772913816
2,0.5885088266245003,0.5498702467783637,0.6882161792372157,0.7222982216142271
3,0.5446736648923061,0.5176332690145659,0.7302890371130494,0.7489740082079344
4,0.5208929424565998,0.49287173929421796,0.7466221994185052,0.761969904240766
5,0.5028290184306317,0.4810340210147526,0.7573969557037797,0.7729138166894665
6,0.4860444758596316,0.4688373285791148,0.7694544210706346,0.7681258549931601
7,0.48776783570240106,0.4616697916518087,0.7699675047032666,0.7783857729138167
8,0.47408824377372616,0.46030823238517926,0.7778347870702924,0.7756497948016415
9,0.4744305042295508,0.45382974264414416,0.7727894646827432,0.7824897400820794
10,0.46068861665295774,0.44643640582976135,0.7877544039678468,0.7886456908344733
