epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.6019839894413297,0.38101661788380664,0.6439199589533093,0.8344733242134063
2,0.4062582510905188,0.26514476246160007,0.8153754061912092,0.926812585499316
3,0.29279408528586554,0.2052244694660539,0.8812211390456645,0.9288645690834473
4,0.22064410726147923,0.1300775030546862,0.9183341884727211,0.9589603283173734
5,0.18930854334857294,0.1198980780824533,0.931161279288524,0.9637482900136799
6,0.1627647481563557,0.10861085063737372,0.9425346331452027,0.9699042407660738
7,0.1444109476481875,0.08922586411885593,0.948264067042928,0.9726402188782489
8,0.13766229022650525,0.0635594115845616,0.9495467761245083,0.9781121751025992
9,0.1175915823798993,0.06621895635338582,0.9598084487771507,0.9829001367989056
10,0.10059741668051994,0.08984416317316177,0.9662219941850522,0.9740082079343365
