epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.6032565259705476,0.462155268891998,0.6452026680348897,0.7777017783857729
2,0.3887467141482022,0.25743353690790094,0.8304258594150846,0.9090287277701778
3,0.2558513820741346,0.1792730791899173,0.9001197195142808,0.9425444596443229
4,0.175359636433219,0.16918774686105872,0.9407388404309902,0.9336525307797537
5,0.1403084033031444,0.09595029535905822,0.9542500427569693,0.9699042407660738
6,0.11138563988414782,0.08329463372533412,0.9630579784504875,0.9733242134062927
7,0.08765007863190188,0.11851319103785184,0.9739182486745339,0.9623803009575923
8,0.08013761549605351,0.06899070638009226,0.974431332307166,0.981532147742818
9,0.0693597864414326,0.06804886555461132,0.9780229177355909,0.981532147742818
10,0.06841728415485228,0.06954258578100606,0.9801607662048913,0.9801641586867305
