red_mean,green_mean,blue_mean
144.1493,142.2846,135.8532
143.5397,141.546,135.1368
145.5027,143.5343,137.0277
145.3579,143.2119,136.5918
145.773,143.6366,136.8453
144.2249,142.1132,135.7994
145.7419,143.5166,136.7105
146.5768,144.3652,137.6421
145.6696,143.542,137.1428
146.0741,143.8724,137.5288
146.9615,144.7806,138.269
148.8731,146.6779,140.1896
148.7059,146.602,140.3022
148.8376,146.5247,140.2939
148.3466,146.4217,140.4475
147.7137,145.9771,139.8861
147.4984,145.7078,140.1876
146.862,145.0364,138.9706
147.5128,145.8623,139.8033
147.9797,146.4372,140.7784
148.3969,146.8533,141.1156
148.549,147.2633,141.5052
148.7176,147.5287,141.5748
148.1659,146.8089,140.5512
150.0639,148.4435,141.7639
148.845,147.1282,140.0952
146.2456,144.6207,137.3954
144.3677,142.594,135.4796
143.5405,141.7029,134.6287
144.1857,142.2098,135.0151
143.9517,142.0975,134.4112
130.748,115.0739,90.7543
130.0883,114.5298,90.3387
129.9811,114.4887,90.1029
131.2697,115.6135,90.8499
132.3027,116.954,91.9902
132.625,117.4521,92.9141
132.9184,118.0599,93.6938
133.5514,118.363,93.6602
132.5213,117.3935,92.7433
132.7305,117.5769,92.8547
132.0632,116.7847,92.1528
132.5336,116.9484,92.0853
133.4571,117.5636,92.5732
133.9945,117.6416,92.0573
132.3969,116.2389,90.9511
132.8862,116.7008,91.0977
131.6213,115.2775,89.9232
131.1982,114.9183,89.5662
131.9373,115.5159,90.0795
132.9805,116.2465,90.2646
132.8779,116.1517,90.1595
133.1964,116.546,90.5235
134.7819,118.1831,91.7697
134.0015,118.1263,92.8221
135.1921,118.7625,92.6539
135.6849,118.9378,92.3579
134.5191,117.8209,91.4211
134.206,117.8555,92.4456
134.5784,118.0101,92.0827
133.6589,117.0455,91.2414
133.0052,116.3861,90.7648
132.9333,116.2795,90.4703
133.3253,116.4689,90.7516
134.0846,117.0889,90.7673
133.9976,116.8985,90.7084
133.6065,116.5279,90.5254
133.17,116.3973,90.4518
133.5195,116.7849,90.7638
134.2686,117.3891,91.6391
135.922,119.6663,93.7135
136.701,120.4524,95.0979
135.996,120.1795,95.1959
135.0192,119.2876,94.2229
134.4767,118.7014,93.4084
134.5276,117.994,92.2192
136.5179,118.7399,91.2301
136.6699,118.7796,91.0594
137.203,119.4828,92.0814
138.2906,121.1602,93.9702
136.7833,119.8294,92.9949
135.6969,119.0114,92.5309
135.0435,118.1134,91.538
135.9026,118.7187,91.8935
135.8712,118.9936,92.2665
135.0917,118.4486,92.0416
134.871,118.3574,92.245
134.4103,118.152,92.1185
134.9723,118.4976,92.5664
136.6043,120.2339,93.9458
137.5681,121.3655,94.9299
136.7316,120.8865,95.0472
136.1529,120.1634,94.0558
135.48,119.4362,93.5553
136.8955,120.9544,94.8983
137.8855,121.5085,94.8211
137.2138,120.7065,94.2088
136.2196,119.5284,92.8926
135.2959,118.7487,92.1812
135.4607,118.5825,91.6438
135.5096,118.2936,91.0814
134.9658,117.5879,90.3393
135.0603,117.6119,90.3883
135.6365,117.9518,90.8565
136.5952,119.073,91.5347
136.5757,119.2863,91.9526
137.3779,119.7588,92.0637
138.9953,121.0302,92.8469
139.2109,121.2363,93.6947
137.7688,119.8741,92.2808
136.0776,118.2375,91.9291
136.6483,119.0165,92.4854
135.7771,118.5028,93.199
136.0625,119.3206,93.5529
138.6416,122.0111,96.2095
135.9957,120.0972,95.3715
134.7671,119.0219,94.7754
132.0805,116.2306,91.7771
132.6201,116.1158,90.3428
133.2415,116.7061,90.918
133.8136,117.2157,90.9236
134.4472,117.6452,91.5517
134.8145,118.1467,91.7734
136.1124,118.9766,92.199
133.7115,117.575,93.5033
134.2929,118.5695,95.2409
134.2881,118.8166,95.9247
134.0458,118.4242,95.925
136.2394,120.4942,97.0748
135.5256,119.4096,95.8142
133.4033,117.84,96.2614
131.684,116.4907,95.4682
131.1948,116.5188,97.0551
132.3465,117.6187,97.8246
133.4646,118.8168,98.7834
135.268,120.6787,100.8278
135.76,121.2975,100.0906
136.4242,120.894,97.2055
136.0287,120.3753,96.4809
135.0899,119.9003,96.1527
134.7865,119.4108,95.7524
134.4181,118.8059,94.043
134.3129,118.569,94.3809
136.1841,120.1814,94.8042
135.9707,119.8909,94.9647
134.8338,118.9731,94.0491
135.4152,119.5329,94.7739
136.0754,119.9016,94.5138
137.4993,121.0196,94.7399
139.134,122.2656,95.7952
137.1956,120.1486,93.6171
135.9082,118.8365,92.2417
137.884,120.9576,94.1304
138.1842,121.3376,94.432
138.7893,122.4725,96.6373
141.0152,125.0639,99.3673
140.9017,125.2849,99.6505
139.9152,124.3007,99.0936
138.0619,122.2838,97.2274
135.3805,119.7642,94.9311
136.1643,120.642,95.6442
134.9606,119.654,94.6824
134.1072,118.2392,92.8859
132.0076,116.0819,91.6267
130.6928,115.4101,92.2841
129.2676,114.1859,90.9982
127.6815,113.0427,91.0008
128.2092,113.6996,91.5369
129.2593,115.1723,93.7768
129.707,115.9211,94.7258
129.2112,115.6132,94.4134
129.3506,115.8017,94.47
129.98,116.2185,94.5224
130.7927,117.0897,96.8464
131.0325,117.7125,98.2483
132.1428,119.1331,99.5805
133.91,120.6661,101.0213
135.9172,122.2514,102.1412
140.3406,126.2068,105.8533
143.5912,129.8633,109.9339
144.6326,130.837,110.8968
142.4087,128.8153,108.7022
138.6354,125.1209,105.253
136.9113,123.0508,102.9222
134.8811,120.7568,99.2723
133.3612,118.5948,96.4943
132.6722,118.213,96.4898
133.0018,118.6145,96.7996
134.68,120.1944,98.0883
135.0281,120.7667,98.3411
133.042,119.0302,96.8751
132.5807,118.9883,97.5849
133.3427,119.6536,98.1969
134.3939,120.6714,99.125
132.6507,119.2038,99.0811
132.2089,118.8108,98.4821
133.367,120.1555,100.1844
132.3322,119.08,99.366
132.2493,119.1363,99.2854
133.5107,120.4218,100.4925
135.5689,122.6415,102.9454
135.7901,123.2131,104.1666
135.9384,123.5389,104.6899
136.1719,124.0279,105.0256
133.6869,121.6246,103.4083
132.6348,120.7947,102.4267
132.4721,120.5628,102.0971
133.0859,120.9502,102.3273
136.2648,123.9258,104.8201
138.9879,125.9294,106.3931
138.6236,125.2054,105.1965
132.3977,119.4554,100.3809
134.318,121.2094,101.8621
139.5913,125.7208,105.2161
137.5982,123.8204,103.5794
141.279,127.5915,106.6029
137.136,124.1266,104.5256
136.2323,123.365,103.3369
133.2748,119.96,99.5369
132.4442,119.3077,98.7509
133.4204,119.8198,99.0354
133.2298,119.4956,99.1822
135.8238,121.9414,100.6921
136.0913,122.0297,100.6952
133.6921,119.8117,98.912
134.9097,121.1861,100.561
137.2282,123.6709,103.039
135.6768,122.5767,102.8042
135.3176,122.4199,102.7433
136.3019,123.6623,104.0957
139.5532,126.2927,105.3634
137.4372,123.8088,102.6438
136.1538,122.5064,101.5336
135.2382,121.4565,100.6466
133.1516,119.0638,97.3092
132.4009,118.4795,96.846
131.6768,117.6078,96.214
133.307,119.1152,97.1803
132.2171,117.7384,95.8221
132.4406,117.7813,95.4088
132.6055,118.2248,95.8901
132.8512,118.4466,95.7686
134.7886,120.1998,97.0105
134.5091,120.5985,98.607
134.309,120.2582,97.4988
134.4965,119.8532,96.2991
134.3754,119.5484,96.907
136.9366,122.4511,99.7721
136.9563,122.5105,100.163
135.3941,121.1363,98.9019
134.7428,120.129,98.2389
136.4841,122.0461,99.6676
136.7445,122.5991,100.5941
136.5833,122.2685,100.1669
136.1923,121.5941,99.2259
136.8265,122.4145,100.099
137.0972,122.7118,100.3168
137.0703,121.7833,98.5548
135.1371,119.4498,95.8388
136.4352,120.6203,97.4132
141.5915,126.4427,103.7454
143.3912,128.9902,105.7628
140.0206,125.3998,102.463
136.4004,122.132,99.2887
134.5644,120.5004,99.1075
133.9529,120.7715,101.1597
135.2922,122.5257,103.6897
140.2186,127.6202,108.5075
144.4797,131.8253,112.4339
139.3909,126.712,107.91
137.2511,124.4942,105.6825
137.0279,124.4485,106.028
136.1757,123.7136,105.0303
136.1893,123.8135,105.0768
135.0202,122.2674,103.8581
133.6883,120.9363,102.4581
133.6918,120.3441,100.9742
132.0491,118.7569,99.7822
133.0125,119.3115,98.7201
132.9711,118.5718,96.2256
132.7979,118.1993,96.0719
133.8414,119.3951,97.2929
132.6194,118.3362,97.0162
131.2053,116.9372,96.0814
131.1096,117.5773,97.1967
130.4304,116.6001,96.485
130.4093,116.497,96.3918
129.9833,116.136,96.1401
129.7798,115.8761,96.0299
131.1172,117.3129,96.7986
134.1911,120.0802,99.3684
133.1284,119.2417,98.6876
133.7272,119.8492,99.512
134.3991,120.6456,100.3057
135.4895,121.5894,101.1937
138.2762,124.3846,104.1402
137.8941,124.4558,104.4237
136.1371,122.044,101.0838
135.0953,121.1252,100.2788
135.4964,120.4274,98.4814
134.791,119.7933,97.773
135.0626,119.8357,97.3779
134.1488,118.8779,96.3349
133.0913,117.4025,94.0778
130.8499,115.3063,92.7418
131.3628,115.9937,93.3488
131.5067,116.0801,93.3786
130.997,115.6071,92.872
129.7019,114.5235,92.0892
129.6536,114.5137,91.877
128.7099,113.6487,91.4985
128.45,113.5096,91.3637
128.2216,113.389,91.288
128.6521,113.5434,91.5471
